Run_number_(), Equivalence_Ratio_C1_Inlet1_Flame_Speed_(C1)_(), Number_of_grid_points_(), Flame_speed_(cm/sec)
1.000000e+000, 8.000000e-001, 8.800000e+001, 5.015278e+001
2.000000e+000, 9.000000e-001, 9.400000e+001, 6.065658e+001
3.000000e+000, 1.000000e+000, 9.700000e+001, 7.060482e+001
4.000000e+000, 1.100000e+000, 1.000000e+002, 7.957762e+001
5.000000e+000, 1.200000e+000, 9.500000e+001, 8.754422e+001
6.000000e+000, 1.300000e+000, 9.200000e+001, 9.494554e+001
7.000000e+000, 1.400000e+000, 9.100000e+001, 1.015964e+002
8.000000e+000, 1.500000e+000, 8.800000e+001, 1.063941e+002
9.000000e+000, 1.600000e+000, 9.300000e+001, 1.117798e+002
1.000000e+001, 1.700000e+000, 8.700000e+001, 1.165164e+002
1.100000e+001, 1.800000e+000, 9.200000e+001, 1.198081e+002
1.200000e+001, 1.900000e+000, 9.300000e+001, 1.221191e+002
1.300000e+001, 2.000000e+000, 9.500000e+001, 1.244002e+002
1.400000e+001, 2.100000e+000, 9.500000e+001, 1.262207e+002
1.500000e+001, 2.200000e+000, 9.400000e+001, 1.273218e+002
