Distance_Run#1_(cm), Pressure_Run#1_(atm), Mass_density_Run#1_(g/cm3), Axial_velocity_Run#1_(cm/sec), Cross-section_area_Run#1_(cm2), Net_heat_production_from_gas-phase_reactions_Run#1_(erg/cm3-sec), EINO_Run#1_(g-NO/kg-fuel), EINO2_Run#1_(g-NO2/kg-fuel), EINOX_Run#1_(g-NOx/kg-fuel), EICO_Run#1_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#1_(), Temperature_Run#1_(K), Mole_fraction_H2_Run#1_(), Mole_fraction_H_Run#1_(), Mole_fraction_O_Run#1_(), Mole_fraction_O2_Run#1_(), Mole_fraction_OH_Run#1_(), Mole_fraction_H2O_Run#1_(), Mole_fraction_HO2_Run#1_(), Mole_fraction_H2O2_Run#1_(), Mole_fraction_CO_Run#1_(), Mole_fraction_CO2_Run#1_(), Mole_fraction_HCO_Run#1_(), Mole_fraction_CH2O_Run#1_(), Mole_fraction_NO_Run#1_(), Mole_fraction_NO2_Run#1_(), Mole_fraction_N2O_Run#1_(), Mole_fraction_N2_Run#1_(), Flow_rate_Run#1_(g/cm2-sec), Molecular_weight_Run#1_(g/mole)
0.000000e+000, 9.999997e-001, 1.115578e-003, 5.015278e+001, 1.000000e+000, -1.376462e-003, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 6.287425e-002, -2.531022e-020, -6.899865e-021, 1.571856e-001, -6.720345e-021, 3.877099e-014, 2.752920e-016, 4.363015e-016, 1.886228e-001, 1.026590e-015, -3.296245e-021, -3.998418e-021, 6.088622e-020, 7.591494e-020, -3.097978e-021, 5.913174e-001, 5.594933e-002, 2.700474e+001
2.475250e+000, 9.999997e-001, 1.115578e-003, 5.015276e+001, 1.000000e+000, -3.208157e-008, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 6.287401e-002, -1.973855e-023, -1.829302e-020, 1.571857e-001, -9.446758e-023, 2.104291e-011, 1.619114e-013, 2.583571e-013, 1.886228e-001, 7.965820e-013, -1.051314e-024, -5.714926e-019, 3.873088e-017, 5.592392e-017, 1.425365e-019, 5.913175e-001, 5.594933e-002, 2.700475e+001
3.663370e+000, 9.999997e-001, 1.115593e-003, 5.015210e+001, 1.000000e+000, 6.380989e-005, 1.496408e-016, 9.958611e-006, 9.958611e-006, 2.436970e-009, 9.999954e-001, 2.950001e+002, 6.286002e-002, 1.187852e-021, 2.201402e-016, 1.571880e-001, 8.765963e-021, 4.072975e-009, 3.395099e-011, 5.453979e-011, 1.886256e-001, 2.201674e-010, 6.408282e-024, 1.544390e-016, 8.289493e-015, 1.407650e-014, 1.116879e-016, 5.913263e-001, 5.594933e-002, 2.700512e+001
4.851490e+000, 9.999997e-001, 1.116662e-003, 5.010409e+001, 1.000000e+000, 8.276651e-001, 2.540746e-017, 3.657157e-005, 3.657157e-005, 6.404856e-009, 9.996415e-001, 2.950335e+002, 6.177518e-002, 7.762738e-018, 1.138929e-012, 1.573726e-001, 7.726662e-017, 1.062590e-006, 9.599108e-009, 1.552263e-008, 1.888422e-001, 8.210830e-008, 2.597273e-021, 5.728986e-014, 2.366285e-012, 4.754514e-012, 4.180355e-014, 5.920089e-001, 5.594933e-002, 2.703405e+001
4.900995e+000, 9.999997e-001, 1.118014e-003, 5.004348e+001, 1.000000e+000, 6.436668e+001, -1.392154e-015, 1.007013e-004, 1.007013e-004, 1.549603e-008, 9.990282e-001, 2.952115e+002, 5.993379e-002, 2.081609e-015, 1.302791e-010, 1.576866e-001, 2.669079e-014, 7.086007e-006, 7.087253e-008, 1.103532e-007, 1.892067e-001, 7.470714e-007, 6.628995e-019, 5.266078e-013, 1.769675e-011, 3.886810e-011, 3.833778e-013, 5.931649e-001, 5.594933e-002, 2.708312e+001
4.925747e+000, 9.999997e-001, 1.118563e-003, 5.001895e+001, 1.000000e+000, 1.131892e+003, 1.570080e-015, 2.532763e-004, 2.532763e-004, 3.617630e-008, 9.979392e-001, 2.959633e+002, 5.684132e-002, 6.505986e-014, 1.004837e-009, 1.582138e-001, 9.286914e-013, 3.457521e-005, 3.752504e-007, 5.765486e-007, 1.898058e-001, 4.945917e-006, 2.110093e-017, 3.525541e-012, 9.466730e-011, 2.343007e-010, 2.558678e-012, 5.950986e-001, 5.594933e-002, 2.716541e+001
4.938124e+000, 9.999997e-001, 1.115471e-003, 5.015758e+001, 1.000000e+000, 1.004977e+004, 1.784003e-015, 5.062048e-004, 5.062048e-004, 6.626323e-008, 9.966197e-001, 2.977470e+002, 5.351764e-002, 7.568834e-013, 3.708057e-009, 1.587740e-001, 1.080391e-011, 1.039019e-004, 1.221478e-006, 1.826482e-006, 1.904172e-001, 1.920102e-005, 2.455766e-016, 1.381068e-011, 3.113617e-010, 8.354596e-010, 1.000057e-011, 5.971651e-001, 5.594933e-002, 2.725360e+001
4.944312e+000, 9.999997e-001, 1.108712e-003, 5.046335e+001, 1.000000e+000, 4.303144e+004, -5.018631e-015, 8.064182e-004, 8.064182e-004, 9.732112e-008, 9.953926e-001, 3.003081e+002, 5.094884e-002, 3.822933e-012, 8.343245e-009, 1.591911e-001, 5.271212e-011, 2.079212e-004, 2.632139e-006, 3.786627e-006, 1.908460e-001, 4.677700e-005, 1.244692e-015, 3.387759e-011, 6.777627e-010, 1.893498e-009, 2.449309e-011, 5.987529e-001, 5.594933e-002, 2.732146e+001
4.950500e+000, 9.999997e-001, 1.091544e-003, 5.125705e+001, 1.000000e+000, 2.183797e+005, 1.099042e-014, 1.333475e-003, 1.333475e-003, 1.448299e-007, 9.933074e-001, 3.060369e+002, 4.752144e-002, 2.306276e-011, 2.038060e-008, 1.597028e-001, 2.967474e-010, 4.480102e-004, 6.254912e-006, 8.465450e-006, 1.913250e-001, 1.262502e-004, 7.581737e-015, 9.212139e-011, 1.633343e-009, 4.683283e-009, 6.650905e-011, 6.008617e-001, 5.594933e-002, 2.741152e+001
4.954625e+000, 9.999997e-001, 1.067653e-003, 5.240405e+001, 1.000000e+000, 7.277870e+005, -7.836135e-015, 1.927219e-003, 1.927219e-003, 1.866800e-007, 9.909598e-001, 3.137337e+002, 4.467421e-002, 1.006217e-010, 4.212850e-008, 1.600545e-001, 1.162531e-009, 7.771872e-004, 1.203162e-005, 1.494732e-005, 1.915966e-001, 2.601519e-004, 3.348306e-014, 1.908299e-010, 3.197280e-009, 8.903562e-009, 1.376984e-010, 6.026103e-001, 5.594933e-002, 2.748586e+001
