Distance_Run#5_(cm), Pressure_Run#5_(atm), Mass_density_Run#5_(g/cm3), Axial_velocity_Run#5_(cm/sec), Cross-section_area_Run#5_(cm2), Net_heat_production_from_gas-phase_reactions_Run#5_(erg/cm3-sec), EINO_Run#5_(g-NO/kg-fuel), EINO2_Run#5_(g-NO2/kg-fuel), EINOX_Run#5_(g-NOx/kg-fuel), EICO_Run#5_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#5_(), Temperature_Run#5_(K), Mole_fraction_H2_Run#5_(), Mole_fraction_H_Run#5_(), Mole_fraction_O_Run#5_(), Mole_fraction_O2_Run#5_(), Mole_fraction_OH_Run#5_(), Mole_fraction_H2O_Run#5_(), Mole_fraction_HO2_Run#5_(), Mole_fraction_H2O2_Run#5_(), Mole_fraction_CO_Run#5_(), Mole_fraction_CO2_Run#5_(), Mole_fraction_HCO_Run#5_(), Mole_fraction_CH2O_Run#5_(), Mole_fraction_N_Run#5_(), Mole_fraction_NH_Run#5_(), Mole_fraction_NNH_Run#5_(), Mole_fraction_NO_Run#5_(), Mole_fraction_NO2_Run#5_(), Mole_fraction_N2O_Run#5_(), Mole_fraction_N2_Run#5_(), Flow_rate_Run#5_(g/cm2-sec), Molecular_weight_Run#5_(g/mole)
0.000000e+000, 9.999997e-001, 1.090231e-003, 8.754422e+001, 1.000000e+000, -3.792621e-002, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 8.377659e-002, -7.326056e-019, -1.776214e-019, 1.396277e-001, -1.951372e-019, 7.618701e-014, -2.236602e-013, 1.128729e-013, 2.513298e-001, 2.177476e-015, -9.579405e-020, -8.763947e-020, -1.784069e-019, -2.096384e-019, -1.256549e-019, -6.935660e-019, 4.119823e-019, -9.518620e-020, 5.252660e-001, 9.544345e-002, 2.639118e+001
2.475250e+000, 9.999997e-001, 1.090232e-003, 8.754415e+001, 1.000000e+000, 2.983877e-004, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 8.377578e-002, 9.567409e-023, 1.371537e-017, 1.396278e-001, 5.044746e-022, 7.103188e-011, -2.258183e-010, 1.147351e-010, 2.513300e-001, 2.899502e-012, -3.311123e-025, 9.933146e-018, -2.700475e-022, -2.900345e-025, -7.473527e-027, -5.792262e-016, 6.249313e-016, 2.135372e-019, 5.252664e-001, 9.544345e-002, 2.639120e+001
4.851490e+000, 9.999997e-001, 1.090453e-003, 8.752641e+001, 1.000000e+000, 2.646107e+002, 1.737195e-016, -4.748108e-005, -4.748108e-005, 2.940089e-008, 9.999514e-001, 2.950035e+002, 8.356290e-002, -6.056880e-018, 3.665867e-013, 1.396608e-001, -7.255039e-017, 6.232020e-008, -2.142977e-007, 1.096308e-007, 2.513881e-001, 3.632331e-009, -2.976070e-021, 1.282707e-014, 7.554582e-020, 3.502971e-020, 2.099645e-024, -5.550423e-013, 7.084687e-013, 3.425779e-016, 5.253883e-001, 9.544345e-002, 2.639686e+001
4.900995e+000, 9.999997e-001, 1.091030e-003, 8.748010e+001, 1.000000e+000, 2.572576e+002, -3.251721e-015, 6.740568e-006, 6.740568e-006, 7.767223e-008, 9.998119e-001, 2.950285e+002, 8.295368e-002, -2.510782e-015, 9.260250e-011, 1.397550e-001, -2.803206e-014, 6.556877e-007, -1.994406e-007, 1.279556e-007, 2.515541e-001, 5.283313e-008, -1.284991e-018, 1.878911e-013, -8.741520e-019, 8.852609e-019, -1.520856e-022, 3.049155e-013, 1.579193e-012, 4.830272e-015, 5.257366e-001, 9.544345e-002, 2.641307e+001
4.925747e+000, 9.999997e-001, 1.092142e-003, 8.739109e+001, 1.000000e+000, 3.277850e+002, 2.578214e-015, 5.447602e-005, 5.447602e-005, 2.062004e-007, 9.994464e-001, 2.951941e+002, 8.138395e-002, 3.004490e-015, 9.348127e-010, 1.399980e-001, -1.490375e-014, 5.100486e-006, -4.912632e-008, 2.615543e-007, 2.519797e-001, 5.681714e-007, 1.555449e-018, 2.046793e-012, 1.915601e-016, 1.014749e-017, 3.553736e-022, 7.262395e-012, 9.950191e-012, 5.253422e-014, 5.266324e-001, 9.544345e-002, 2.645481e+001
4.950500e+000, 9.999997e-001, 1.092893e-003, 8.733101e+001, 1.000000e+000, 2.112626e+004, 5.602938e-016, 1.771977e-004, 1.771977e-004, 5.752960e-007, 9.980186e-001, 2.967274e+002, 7.552070e-002, 2.985567e-012, 9.787617e-009, 1.409030e-001, 2.805205e-011, 5.099223e-005, 1.623960e-006, 1.752415e-006, 2.535488e-001, 7.948761e-006, 1.517016e-015, 2.899612e-011, 6.884740e-015, 1.187397e-016, 2.780471e-022, 8.504895e-011, 1.196110e-010, 7.415185e-013, 5.299651e-001, 9.544345e-002, 2.661052e+001
4.954625e+000, 9.999997e-001, 1.090068e-003, 8.755733e+001, 1.000000e+000, 9.688024e+004, -1.858266e-014, 2.819896e-004, 2.819896e-004, 8.401404e-007, 9.973403e-001, 2.982309e+002, 7.303940e-002, 1.740885e-011, 2.181235e-008, 1.412782e-001, 1.530727e-010, 9.989488e-005, 3.658571e-006, 3.402029e-006, 2.541904e-001, 1.865765e-005, 8.864264e-015, 6.855403e-011, 3.147462e-014, 2.600135e-016, -1.240916e-020, 1.821276e-010, 2.567343e-010, 1.750036e-012, 5.313664e-001, 9.544345e-002, 2.667623e+001
4.958750e+000, 9.999997e-001, 1.080861e-003, 8.830316e+001, 1.000000e+000, 5.587303e+005, 2.630070e-014, 4.921610e-004, 4.921610e-004, 1.328039e-006, 9.962337e-001, 3.018094e+002, 6.955062e-002, 1.172141e-010, 5.155617e-008, 1.417827e-001, 9.364973e-010, 2.231866e-004, 9.233445e-006, 7.711392e-006, 2.550481e-001, 5.271130e-005, 6.005899e-014, 1.953901e-010, 1.095920e-013, 8.307783e-016, 2.495643e-020, 4.516799e-010, 6.526501e-010, 4.978162e-012, 5.333257e-001, 9.544345e-002, 2.676830e+001
4.960813e+000, 9.999997e-001, 1.070340e-003, 8.917117e+001, 1.000000e+000, 1.612975e+006, 3.885563e-014, 6.862264e-004, 6.862264e-004, 1.716679e-006, 9.953694e-001, 3.054424e+002, 6.732427e-002, 5.139602e-010, 8.670655e-008, 1.420761e-001, 3.277118e-009, 3.539587e-004, 1.581842e-005, 1.232384e-005, 2.555506e-001, 9.716174e-005, 2.654205e-013, 3.621348e-010, 2.127038e-013, 1.861259e-015, 4.543015e-020, 7.760075e-010, 1.112535e-009, 9.217056e-012, 5.345696e-001, 9.544345e-002, 2.682681e+001
4.962875e+000, 9.999997e-001, 1.052063e-003, 9.072031e+001, 1.000000e+000, 5.288277e+006, 3.223770e-013, 9.770854e-004, 9.770854e-004, 2.225375e-006, 9.941249e-001, 3.115304e+002, 6.474635e-002, 2.981154e-009, 1.547324e-007, 1.423668e-001, 1.397142e-008, 5.799855e-004, 2.835989e-005, 2.028675e-005, 2.560648e-001, 1.883350e-004, 1.557888e-012, 7.060528e-010, 4.118987e-013, 5.511127e-015, 4.794273e-019, 1.405399e-009, 1.959700e-009, 1.795639e-011, 5.360048e-001, 9.544345e-002, 2.689429e+001
