Distance_Run#9_(cm), Pressure_Run#9_(atm), Mass_density_Run#9_(g/cm3), Axial_velocity_Run#9_(cm/sec), Cross-section_area_Run#9_(cm2), Net_heat_production_from_gas-phase_reactions_Run#9_(erg/cm3-sec), EINO_Run#9_(g-NO/kg-fuel), EINO2_Run#9_(g-NO2/kg-fuel), EINOX_Run#9_(g-NOx/kg-fuel), EICO_Run#9_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#9_(), Temperature_Run#9_(K), Mole_fraction_H2_Run#9_(), Mole_fraction_H_Run#9_(), Mole_fraction_O_Run#9_(), Mole_fraction_O2_Run#9_(), Mole_fraction_OH_Run#9_(), Mole_fraction_H2O_Run#9_(), Mole_fraction_HO2_Run#9_(), Mole_fraction_H2O2_Run#9_(), Mole_fraction_CO_Run#9_(), Mole_fraction_CO2_Run#9_(), Mole_fraction_HCO_Run#9_(), Mole_fraction_CH2O_Run#9_(), Mole_fraction_N_Run#9_(), Mole_fraction_NH_Run#9_(), Mole_fraction_NNH_Run#9_(), Mole_fraction_NO_Run#9_(), Mole_fraction_N2O_Run#9_(), Mole_fraction_N2_Run#9_(), Flow_rate_Run#9_(g/cm2-sec), Molecular_weight_Run#9_(g/mole)
0.000000e+000, 9.999997e-001, 1.069978e-003, 1.117798e+002, 1.000000e+000, -3.246661e-002, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 1.004785e-001, -6.516717e-019, -1.643228e-019, 1.255981e-001, -1.743748e-019, 1.429973e-014, -1.789798e-013, 8.901427e-014, 3.014354e-001, 3.658423e-016, -8.568896e-020, -8.172015e-020, -1.593621e-019, -1.872971e-019, -1.123638e-019, -1.748230e-019, -8.520884e-020, 4.724880e-001, 1.196020e-001, 2.590091e+001
2.475250e+000, 9.999997e-001, 1.069979e-003, 1.117798e+002, 1.000000e+000, 3.031446e-004, 0.000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000, 1.000000e+000, 2.950000e+002, 1.004781e-001, 1.380778e-022, 1.089850e-017, 1.255981e-001, 4.516768e-022, 1.681029e-011, -2.277210e-010, 1.140198e-010, 3.014355e-001, 6.137500e-013, 1.596902e-024, 5.553694e-018, 7.920157e-022, 3.460885e-023, 2.731963e-026, -8.034585e-017, 1.769849e-019, 4.724882e-001, 1.196020e-001, 2.590092e+001
4.851490e+000, 9.999997e-001, 1.070101e-003, 1.117670e+002, 1.000000e+000, 4.274244e+002, -1.132006e-016, -1.606247e-005, -1.606247e-005, 6.430545e-008, 9.999790e-001, 2.950020e+002, 1.003602e-001, -1.382696e-017, 3.470077e-013, 1.256150e-001, -1.130284e-016, 1.859452e-008, -2.723758e-007, 1.373049e-007, 3.014748e-001, 9.679055e-010, -9.746675e-021, 7.743822e-015, -1.956303e-020, 4.760476e-021, -7.094319e-025, -9.736049e-014, 2.130377e-017, 4.725501e-001, 1.196020e-001, 2.590405e+001
4.900995e+000, 9.999997e-001, 1.070526e-003, 1.117226e+002, 1.000000e+000, 4.390956e+002, 1.120326e-015, 3.061519e-006, 3.061519e-006, 1.818050e-007, 9.999021e-001, 2.950150e+002, 9.992970e-002, -4.214390e-015, 1.023269e-010, 1.256760e-001, -3.446047e-014, 2.418019e-007, -2.643599e-007, 1.479135e-007, 3.016184e-001, 1.733849e-008, -2.955937e-018, 1.425537e-013, 3.103716e-018, 2.488366e-019, 3.268270e-023, 8.638113e-014, 4.568607e-016, 4.727758e-001, 1.196020e-001, 2.591549e+001
4.950500e+000, 9.999997e-001, 1.073347e-003, 1.114290e+002, 1.000000e+000, 1.345223e+003, -1.265520e-015, 2.363201e-005, 2.363201e-005, 5.823247e-007, 9.992760e-001, 2.952901e+002, 9.644472e-002, 8.713787e-014, 3.063115e-009, 1.261703e-001, 5.114007e-013, 5.720199e-006, 8.715384e-008, 3.607069e-007, 3.027776e-001, 5.814671e-007, 6.106593e-017, 4.865880e-012, 3.645259e-016, 6.049432e-018, -2.741000e-022, 4.950498e-012, 1.552849e-014, 4.746006e-001, 1.196020e-001, 2.600801e+001
4.954625e+000, 9.999997e-001, 1.073865e-003, 1.113753e+002, 1.000000e+000, 5.416054e+003, 1.366846e-014, 3.883881e-005, 3.883881e-005, 9.017650e-007, 9.990191e-001, 2.955669e+002, 9.505280e-002, 1.110001e-012, 7.400183e-009, 1.263674e-001, 6.926440e-012, 1.198300e-005, 5.212907e-007, 6.234704e-007, 3.032378e-001, 1.477981e-006, 7.785698e-016, 1.249568e-011, 3.039793e-015, 1.754686e-017, 4.016317e-021, 1.103781e-011, 3.983977e-014, 4.753274e-001, 1.196020e-001, 2.604494e+001
4.958750e+000, 9.999997e-001, 1.073542e-003, 1.114088e+002, 1.000000e+000, 3.495515e+004, -8.876663e-015, 7.433034e-005, 7.433034e-005, 1.609227e-006, 9.986000e-001, 2.963116e+002, 9.287271e-002, 9.570835e-012, 1.844065e-008, 1.266739e-001, 5.968773e-011, 3.047026e-005, 1.877607e-006, 1.443399e-006, 3.039522e-001, 4.872131e-006, 6.714445e-015, 4.166391e-011, 1.257669e-014, 3.869602e-017, -3.731181e-021, 3.021837e-011, 1.324205e-013, 4.764625e-001, 1.196020e-001, 2.610272e+001
4.962875e+000, 9.999997e-001, 1.069955e-003, 1.117823e+002, 1.000000e+000, 2.918819e+005, 1.008231e-014, 1.487137e-004, 1.487137e-004, 2.989022e-006, 9.978975e-001, 2.983206e+002, 8.950250e-002, 9.007797e-011, 4.748329e-008, 1.271376e-001, 5.074400e-010, 8.487332e-005, 6.138562e-006, 3.978376e-006, 3.050365e-001, 1.768590e-005, 6.341197e-014, 1.528437e-010, 4.862630e-014, 1.438553e-016, 6.386279e-021, 9.110603e-011, 4.845391e-013, 4.782106e-001, 1.196020e-001, 2.619188e+001
4.964937e+000, 9.999997e-001, 1.064314e-003, 1.123747e+002, 1.000000e+000, 1.071676e+006, 7.824960e-014, 2.229628e-004, 2.229628e-004, 4.225039e-006, 9.973447e-001, 3.006055e+002, 8.717253e-002, 5.160894e-010, 8.263911e-008, 1.274431e-001, 2.159582e-009, 1.512994e-004, 1.178499e-005, 7.153539e-006, 3.057625e-001, 3.730359e-005, 3.654662e-013, 3.245518e-010, 1.038580e-013, 3.486906e-016, 6.274132e-020, 1.729069e-010, 1.027275e-012, 4.794142e-001, 1.196020e-001, 2.625336e+001
4.967000e+000, 9.999997e-001, 1.052623e-003, 1.136228e+002, 1.000000e+000, 4.618819e+006, 3.412906e-013, 3.432886e-004, 3.432886e-004, 6.034925e-006, 9.965449e-001, 3.048165e+002, 8.430982e-002, 3.741031e-009, 1.525518e-007, 1.277879e-001, 1.123073e-008, 2.805274e-004, 2.365453e-005, 1.340797e-005, 3.066130e-001, 8.351719e-005, 2.673201e-012, 7.319929e-010, 2.231637e-013, 1.012992e-015, 3.570995e-019, 3.474022e-010, 2.313268e-012, 4.808880e-001, 1.196020e-001, 2.632870e+001
4.968031e+000, 9.999997e-001, 1.042635e-003, 1.147113e+002, 1.000000e+000, 1.208648e+007, 1.190676e-012, 4.355555e-004, 4.355555e-004, 7.244603e-006, 9.959890e-001, 3.082409e+002, 8.266599e-002, 1.527965e-008, 2.187972e-007, 1.279595e-001, 3.586687e-008, 3.900747e-004, 3.462611e-005, 1.862884e-005, 3.070690e-001, 1.297067e-004, 1.098362e-011, 1.141918e-009, 3.332732e-013, 2.334720e-015, 1.448646e-018, 5.125317e-010, 3.606198e-012, 4.817322e-001, 1.196020e-001, 2.637184e+001
4.969062e+000, 9.999997e-001, 1.028362e-003, 1.163034e+002, 1.000000e+000, 3.345855e+007, 5.788450e-012, 5.578662e-004, 5.578662e-004, 8.676769e-006, 9.952692e-001, 3.130704e+002, 8.088996e-002, 5.701015e-008, 3.249169e-007, 1.281107e-001, 1.148909e-007, 5.491986e-004, 5.163835e-005, 2.605949e-005, 3.075225e-001, 2.060248e-004, 4.131157e-011, 1.822963e-009, 5.001527e-013, 6.265847e-015, 8.321034e-018, 7.756279e-010, 5.754277e-012, 4.826434e-001, 1.196020e-001, 2.641837e+001
